"11","1011","Virat Kohli","21","91","1011","Virat Kohli","21","91"
"12","1012","Pratham Mishra","22","24","1012","Pratham Mishra","22","24"
"13","1013","Vivian D Sena","18","86","1013","Vivian D Sena","18","86"
"14","1014","Rajat Dalal","19","41","1014","Rajat Dalal","19","41"
"15","1015","Avinash Mishra","25","55","1015","Avinash Mishra","25","55"
"16","1016","Abid Hussain ","24","75","1016","Abid Hussain ","24","75"
"17","1017","Sandeep Meena","21","66","1017","Sandeep Meena","21","66"
"18","1018","Hrithik Roshan","22","38","1018","Hrithik Roshan","22","38"
"19","1019","Ravi Binoi","20","33","1019","Ravi Binoi","20","33"
"1","1001","Mohan Sharma","18","80","1001","Mohan Sharma","18","80"
"2","1002","Rajveer Singh","19","69","1002","Rajveer Singh","19","69"
"3","1003","Mohan Panday","25","70","1003","Mohan Panday","25","70"
"4","1004","Abhishek Kumar ","24","48","1004","Abhishek Kumar ","24","48"
"5","1005","Mohit Soni","21","57","1005","Mohit Soni","21","57"
"6","1006","Ravi Jain","22","84","1006","Ravi Jain","22","84"
"7","1007","Prashant Verma","18","32","1007","Prashant Verma","18","32"
"8","1008","Ravi Sen","19","25","1008","Ravi Sen","19","25"
"9","1009","Mohit Sharma","25","48","1009","Mohit Sharma","25","48"
"S.No","ID","NAME","AGE","MARKS","ID","NAME","AGE","MARKS"
"20","1020","Rajesh Verma","23","64","1020","Rajesh Verma","23","64"
"10","1010","Ravi Binoi","24","60","1010","Ravi Binoi","24","60"
